Open Date,Close Date,Symbol,Action,Lots,SL,TP,Open,Close,Pips,Profit,Duration,Gain
21/04/21 3:16,21/04/21 3:21,USDJPY,Sell,0.52,-,-,107.97,107.915,0,24.84,4m,0.80%
19/04/21 18:02,19/04/21 22:06,USDJPY,Sell,0.53,-,-,108.01,108.14,0,-65.41,4h 4m,-2.07%
19/04/21 4:49,19/04/21 9:00,USDJPY,Sell,0.55,-,-,108.61,108.536,0,35.74,4h 10m,1.14%
19/04/21 7:21,19/04/21 7:52,GBPUSD,Buy,0.38,-,-,1.38407,1.38534,0,46.58,31m,1.51%
16/04/21 13:53,19/04/21 1:08,EURUSD,Buy,0.3,-,-,1.19933,1.19713,0,-69.19,2d ,-2.20%
16/04/21 15:08,16/04/21 16:20,GBPUSD,Buy,0.39,-,-,1.38088,1.37918,0,-68.02,1h 12m,-2.12%
16/04/21 10:43,16/04/21 11:25,USDJPY,Buy,0.56,-,-,108.958,108.828,0,-68.68,42m,-2.09%
15/04/21 12:30,15/04/21 12:57,GBPUSD,Buy,0.4,-,-,1.38084,1.37914,0,-69.77,27m,-2.08%
15/04/21 11:40,15/04/21 12:23,USDJPY,Sell,0.57,-,-,108.751,108.702,0,23.87,43m,0.72%
14/04/21 16:32,14/04/21 17:47,USDJPY,Buy,0.57,-,-,109.075,108.945,0,-69.84,1h 14m,-2.06%
13/04/21 10:41,13/04/21 12:23,USDJPY,Sell,0.57,-,-,109.355,109.275,0,39.91,1h 42m,1.19%
12/04/21 9:54,12/04/21 10:17,GBPUSD,Buy,0.4,-,-,1.37139,1.37251,0,43.04,23m,1.30%
12/04/21 8:06,12/04/21 8:51,GBPUSD,Sell,0.34,-,-,1.367,1.369,0,-69.49,44m,-2.05%
09/04/21 8:40,09/04/21 9:00,GBPUSD,Sell,0.34,-,-,1.37188,1.37067,0,39.65,20m,1.19%
08/04/21 19:11,09/04/21 8:59,EURUSD,Buy,0.32,-,-,1.19147,1.18927,0,-73.8,13h 48m,-2.16%
